image,brand,name,description,price,user
https://www.forever21.com/us/2001311824.html,Forever 21,Twill Wide-Leg Cargo Pants,"A pair of twill pants featuring contrasting topstitching, a high-rise waist, belt loops, zip fly and button-front closure, wide leg, coin pocket, and leg utility strap and cargo patch pockets.
Content + Care
- 100% cotton

- Hand wash cold

Size + Fit
- Model is 5'9"" and wearing a Small",24.49,vivian
https://codibook.net/item/9128545?viewMode=shopThumbnail,gifteabox,"Denim for all seasons, 3-length vintage Faded high waist wide pants","Country of Origin : China(OEM)
Material : 100% cotton
",25.68,megan
https://www.forever21.com/us/2001311729.html,Forever 21,Mid-Rise Wide-Leg Cargo Pants,"A pair of twill pants featuring a mid-rise waist, belt loops, zip fly and button-front closure, slanted front pockets, wide leg, leg cargo flap pockets with frayed trim, and back patch pockets.
Content + Care
- 100% cotton

- Machine wash cold

Size + Fit
- Model is 5'9"" and wearing a Small

- Inseam: 31.5""",24.49,vivian
https://codibook.net/item/9210572?viewMode=shopThumbnail\,binary01,Fine layered check blouse,"Country of Origin : China(OEM)
Material : Cotton 100%
",33.53,megan
https://codibook.net/item/8985302?viewMode=shopThumbnail,wonderwonder,Blena Heart Strap Button Lace Cropped Sleeveless Blouse,"Country of Origin : Korea/China(OEM)
Material : Cotton 100%
",24.57,megan
https://codibook.net/item/9323200?viewMode=shopThumbnail,binary01,Kikuni Frill Midi Skirt,"Country of Origin : Korea
Material : Cotton 100%
",36.02,megan
https://www.uniqlo.com/us/en/products/E465185-000/00?colorDisplayCode=02&sizeDisplayCode=003,Uniqlo,AIRism Cotton Oversized T-Shirt | Half-Sleeve,"- Sheer: Not Sheer
- Fit: Oversized
- Pockets: No Pockets

- The images shown may include colors that are not available.
- Clothing using recycled materials is part of our effort to support the reduction of waste and use of new materials. Ratios of recycled material vary by item. Please check “Materials” on the price tag or care label for details.

",19.9,matt
https://www.uniqlo.com/us/en/products/E422992-000/00?colorDisplayCode=75&sizeDisplayCode=003,Uniqlo,Crew Neck T-Shirt,"The Uniqlo U collection is the realization of a dedicated and skilled team of international designers based at our Paris Research and Development Center led by Artistic Director Christophe Lemaire.

- Heavyweight 100% cotton jersey fabric.
- Durable dry touch, heavyweight jersey fabric gains character with every wash.
- Binding at the collar helps the neckline keep its shape.
- Relaxed, unisex cut.
- Neckline inspired by vintage military T-shirt designs.",14.9,matt
https://www.uniqlo.com/us/en/products/E471808-000/00?colorDisplayCode=19&sizeDisplayCode=003,Uniqlo,Sweat Oversized Pullover Hoodie,"- Sheer: Not Sheer
- Fit: Relaxed
- Pockets: With Pockets
",49.9,matt
https://www.uniqlo.com/us/en/products/E475296-000/00?colorDisplayCode=69&sizeDisplayCode=008,Uniqlo,3D Knit Sweater,"- Updated silhouette for a sleeker fit.
- Stylish 3D silhouette for unbeatable comfort.
- No seams* for a gentle feel. *The collar tag and quality care label have seams.",49.9,matt
